2025-12-22 14:42:44,241MiB / 7.654GiB,3.08%,103.80%,76.1MB / 34.6MB,161MB / 77.5MB
2025-12-22 14:42:55,241.5MiB / 7.654GiB,3.08%,93.26%,76.2MB / 34.7MB,161MB / 77.5MB
2025-12-22 14:43:07,241.6MiB / 7.654GiB,3.08%,102.77%,76.4MB / 34.7MB,161MB / 77.5MB
2025-12-22 14:43:18,241.8MiB / 7.654GiB,3.09%,98.57%,76.5MB / 34.8MB,161MB / 77.5MB
2025-12-22 14:43:31,241.7MiB / 7.654GiB,3.08%,102.09%,76.7MB / 34.9MB,161MB / 77.5MB
2025-12-22 14:43:43,240.9MiB / 7.654GiB,3.07%,102.00%,76.9MB / 35MB,161MB / 77.5MB
2025-12-22 14:43:55,242MiB / 7.654GiB,3.09%,101.66%,77.1MB / 35.1MB,161MB / 77.5MB
2025-12-22 14:44:06,242.4MiB / 7.654GiB,3.09%,99.66%,77.2MB / 35.2MB,161MB / 77.5MB
2025-12-22 14:44:18,242.6MiB / 7.654GiB,3.10%,82.24%,77.4MB / 35.2MB,161MB / 77.5MB
2025-12-22 14:44:29,242.7MiB / 7.654GiB,3.10%,98.36%,77.6MB / 35.3MB,161MB / 77.5MB
2025-12-22 14:44:41,242.4MiB / 7.654GiB,3.09%,88.48%,77.7MB / 35.4MB,161MB / 77.6MB
2025-12-22 14:44:53,242.4MiB / 7.654GiB,3.09%,99.74%,77.9MB / 35.4MB,161MB / 77.6MB
2025-12-22 14:45:05,243.3MiB / 7.654GiB,3.10%,99.76%,78MB / 35.5MB,161MB / 77.6MB
2025-12-22 14:45:16,243.3MiB / 7.654GiB,3.10%,99.25%,78.2MB / 35.6MB,161MB / 77.6MB
2025-12-22 14:45:28,243.3MiB / 7.654GiB,3.10%,96.72%,78.4MB / 35.7MB,161MB / 77.6MB
2025-12-22 14:45:39,244.7MiB / 7.654GiB,3.12%,87.72%,78.6MB / 35.8MB,161MB / 77.6MB
2025-12-22 14:45:51,243.6MiB / 7.654GiB,3.11%,94.31%,78.7MB / 35.8MB,161MB / 77.6MB
2025-12-22 14:46:03,244MiB / 7.654GiB,3.11%,91.20%,78.9MB / 35.9MB,161MB / 77.6MB
2025-12-22 14:46:15,243.9MiB / 7.654GiB,3.11%,101.64%,79MB / 36MB,161MB / 77.6MB
2025-12-22 14:46:26,244.1MiB / 7.654GiB,3.11%,101.24%,79.2MB / 36.1MB,161MB / 77.6MB
2025-12-22 14:46:38,244.3MiB / 7.654GiB,3.12%,95.68%,79.4MB / 36.2MB,161MB / 77.7MB
2025-12-22 14:46:49,244.7MiB / 7.654GiB,3.12%,99.16%,79.6MB / 36.3MB,161MB / 77.7MB
2025-12-22 14:47:01,244.9MiB / 7.654GiB,3.12%,92.70%,79.7MB / 36.3MB,161MB / 77.7MB
2025-12-22 14:47:13,244.8MiB / 7.654GiB,3.12%,101.10%,79.8MB / 36.4MB,161MB / 77.7MB
2025-12-22 14:47:25,245.1MiB / 7.654GiB,3.13%,95.99%,80MB / 36.4MB,161MB / 77.7MB
2025-12-22 14:47:36,245.3MiB / 7.654GiB,3.13%,99.02%,80.1MB / 36.5MB,161MB / 77.7MB
2025-12-22 14:47:48,245.2MiB / 7.654GiB,3.13%,99.60%,80.3MB / 36.6MB,161MB / 77.7MB
2025-12-22 14:48:00,245.4MiB / 7.654GiB,3.13%,96.64%,80.4MB / 36.7MB,161MB / 77.7MB
2025-12-22 14:48:12,245.6MiB / 7.654GiB,3.13%,100.51%,80.6MB / 36.7MB,161MB / 77.7MB
2025-12-22 14:48:24,246MiB / 7.654GiB,3.14%,98.82%,80.8MB / 36.8MB,161MB / 77.7MB
2025-12-22 14:48:35,245.9MiB / 7.654GiB,3.14%,99.36%,81MB / 36.9MB,161MB / 77.7MB
2025-12-22 14:48:47,246.3MiB / 7.654GiB,3.14%,96.37%,81.1MB / 37MB,161MB / 77.7MB
2025-12-22 14:48:58,246.5MiB / 7.654GiB,3.15%,90.22%,81.2MB / 37MB,161MB / 77.8MB
2025-12-22 14:49:11,248.5MiB / 7.654GiB,3.17%,103.48%,81.4MB / 37.1MB,161MB / 77.8MB
2025-12-22 14:49:23,246.6MiB / 7.654GiB,3.15%,98.02%,81.5MB / 37.2MB,161MB / 77.8MB
2025-12-22 14:49:35,246.7MiB / 7.654GiB,3.15%,100.21%,81.7MB / 37.3MB,161MB / 77.8MB
2025-12-22 14:49:46,247.2MiB / 7.654GiB,3.15%,102.13%,81.9MB / 37.4MB,161MB / 77.8MB
2025-12-22 14:49:58,247.3MiB / 7.654GiB,3.16%,90.85%,82.1MB / 37.4MB,161MB / 77.8MB
2025-12-22 14:50:09,247.3MiB / 7.654GiB,3.16%,95.82%,82.2MB / 37.5MB,161MB / 77.8MB
2025-12-22 14:50:21,247.5MiB / 7.654GiB,3.16%,93.56%,82.4MB / 37.5MB,161MB / 77.8MB
2025-12-22 14:50:33,247.6MiB / 7.654GiB,3.16%,102.61%,82.5MB / 37.6MB,161MB / 77.8MB
2025-12-22 14:50:45,247.8MiB / 7.654GiB,3.16%,94.10%,82.6MB / 37.7MB,161MB / 77.8MB
2025-12-22 14:50:56,248MiB / 7.654GiB,3.16%,98.89%,82.8MB / 37.7MB,161MB / 77.8MB
2025-12-22 14:51:08,249.7MiB / 7.654GiB,3.19%,109.36%,83MB / 37.8MB,161MB / 77.9MB
2025-12-22 14:51:20,248.2MiB / 7.654GiB,3.17%,104.29%,83.2MB / 37.9MB,161MB / 77.9MB
2025-12-22 14:51:32,248.6MiB / 7.654GiB,3.17%,101.51%,83.3MB / 38MB,161MB / 77.9MB
2025-12-22 14:51:44,248.5MiB / 7.654GiB,3.17%,94.84%,83.5MB / 38.1MB,161MB / 77.9MB
2025-12-22 14:51:55,248.7MiB / 7.654GiB,3.17%,99.49%,83.6MB / 38.1MB,161MB / 77.9MB
