timestamp,minutes_elapsed,cpu_percent,memory_mb,memory_limit_mb,memory_percent,net_io,block_io
2025-12-23 11:38:14,17,100.52,237.1,7837.7,,,
2025-12-23 11:38:26,17,101.00,237.3,7837.7,,,
2025-12-23 11:38:38,18,101.75,237.4,7837.7,,,
2025-12-23 11:38:49,18,106.30,237.5,7837.7,,,
2025-12-23 11:39:01,18,99.19,237.7,7837.7,,,
2025-12-23 11:39:12,18,97.61,238.1,7837.7,,,
2025-12-23 11:39:25,18,102.80,238,7837.7,,,
2025-12-23 11:39:36,19,99.06,238.7,7837.7,,,
2025-12-23 11:39:48,19,105.38,238.3,7837.7,,,
2025-12-23 11:40:00,19,102.21,238.5,7837.7,,,
2025-12-23 11:40:11,19,103.56,238.7,7837.7,,,
2025-12-23 11:40:24,19,88.07,239.1,7837.7,,,
2025-12-23 11:40:36,20,94.95,239,7837.7,,,
2025-12-23 11:40:48,20,107.83,239.1,7837.7,,,
2025-12-23 11:40:59,20,100.38,241.3,7837.7,,,
2025-12-23 11:41:11,20,98.12,249.4,7837.7,,,
2025-12-23 11:41:23,20,105.21,249.5,7837.7,,,
2025-12-23 11:41:35,21,98.21,249.7,7837.7,,,
2025-12-23 11:41:46,21,95.07,249.8,7837.7,,,
2025-12-23 11:41:58,21,113.08,250.1,7837.7,,,
2025-12-23 11:42:09,21,102.66,250.4,7837.7,,,
2025-12-23 11:42:21,21,103.43,250.3,7837.7,,,
2025-12-23 11:42:33,22,96.76,250.8,7837.7,,,
2025-12-23 11:42:45,22,104.36,252.2,7837.7,,,
2025-12-23 11:42:56,22,99.18,251,7837.7,,,
2025-12-23 11:43:08,22,104.07,250.9,7837.7,,,
2025-12-23 11:43:20,22,97.73,251.1,7837.7,,,
2025-12-23 11:43:31,22,101.85,251.4,7837.7,,,
2025-12-23 11:43:44,23,105.21,251.5,7837.7,,,
2025-12-23 11:43:56,23,93.04,251.9,7837.7,,,
2025-12-23 11:44:08,23,91.97,252,7837.7,,,
2025-12-23 11:44:19,23,109.15,252.1,7837.7,,,
2025-12-23 11:44:31,23,98.31,252.3,7837.7,,,
2025-12-23 11:44:42,24,97.07,252.5,7837.7,,,
2025-12-23 11:44:54,24,109.61,252.6,7837.7,,,
2025-12-23 11:45:07,24,104.10,252.8,7837.7,,,
2025-12-23 11:45:18,24,101.18,253,7837.7,,,
2025-12-23 11:45:30,24,103.57,253.1,7837.7,,,
2025-12-23 11:45:41,25,99.65,253.3,7837.7,,,
2025-12-23 11:45:54,25,95.10,253.4,7837.7,,,
2025-12-23 11:46:06,25,103.40,253.6,7837.7,,,
2025-12-23 11:46:17,25,100.95,253.7,7837.7,,,
2025-12-23 11:46:29,25,101.92,252.7,7837.7,,,
2025-12-23 11:46:41,26,105.38,252.4,7837.7,,,
2025-12-23 11:46:52,26,97.58,246.3,7837.7,,,
2025-12-23 11:47:05,26,101.74,244.8,7837.7,,,
2025-12-23 11:47:16,26,88.11,243.4,7837.7,,,
2025-12-23 11:47:28,26,103.90,242.4,7837.7,,,
2025-12-23 11:47:40,27,100.84,240,7837.7,,,
2025-12-23 11:47:51,27,104.29,228.1,7837.7,,,
2025-12-23 11:48:04,27,102.13,228.2,7837.7,,,
2025-12-23 11:48:16,27,99.85,228.6,7837.7,,,
2025-12-23 11:48:28,27,105.78,228.6,7837.7,,,
2025-12-23 11:48:39,28,98.48,229,7837.7,,,
2025-12-23 11:48:51,28,93.65,228.9,7837.7,,,
2025-12-23 11:49:02,28,105.09,229,7837.7,,,
2025-12-23 11:49:15,28,98.79,229.4,7837.7,,,
2025-12-23 11:49:27,28,93.35,229.3,7837.7,,,
2025-12-23 11:49:38,29,95.88,229.7,7837.7,,,
2025-12-23 11:49:50,29,106.11,229.9,7837.7,,,
2025-12-23 11:50:01,29,101.19,229.7,7837.7,,,
2025-12-23 11:50:14,29,95.91,230.1,7837.7,,,
2025-12-23 11:50:26,29,92.64,230,7837.7,,,
2025-12-23 11:50:38,30,93.71,230.2,7837.7,,,
2025-12-23 11:50:49,30,104.64,230.5,7837.7,,,
2025-12-23 11:51:01,30,100.19,230.5,7837.7,,,
2025-12-23 11:51:12,30,98.90,230.6,7837.7,,,
2025-12-23 11:51:25,30,101.07,230.3,7837.7,,,
2025-12-23 11:51:37,31,96.39,228.7,7837.7,,,
2025-12-23 11:51:48,31,116.32,228.9,7837.7,,,
2025-12-23 11:52:00,31,113.48,229,7837.7,,,
2025-12-23 11:52:11,31,94.91,227,7837.7,,,
2025-12-23 11:52:24,31,97.18,226,7837.7,,,
2025-12-23 11:52:36,32,98.50,223.7,7837.7,,,
