timestamp,elapsed_min,gen0_before,gen1_before,gen2_before,collected,total_before,gen0_after,gen1_after,gen2_after
2026-01-02 12:20:03,236,42,8,0,0,50,0,0,0
2026-01-02 12:20:18,237,42,8,0,0,50,0,0,0
2026-01-02 12:20:33,237,42,8,0,0,50,0,0,0
2026-01-02 12:20:48,237,42,8,0,0,50,0,0,0
2026-01-02 12:21:03,237,42,8,0,0,50,0,0,0
2026-01-02 12:21:18,238,42,8,0,0,50,0,0,0
2026-01-02 12:21:33,238,42,8,0,0,50,0,0,0
2026-01-02 12:21:49,238,42,8,0,0,50,0,0,0
2026-01-02 12:22:04,238,42,8,0,0,50,0,0,0
2026-01-02 12:22:19,239,42,8,0,0,50,0,0,0
2026-01-02 12:22:34,239,42,8,0,0,50,0,0,0
2026-01-02 12:22:49,239,42,8,0,0,50,0,0,0
2026-01-02 12:23:05,239,42,8,0,0,50,0,0,0
2026-01-02 12:23:20,240,42,8,0,0,50,0,0,0
2026-01-02 12:23:36,240,42,8,0,0,50,0,0,0
2026-01-02 12:23:51,240,42,8,0,0,50,0,0,0
2026-01-02 12:24:07,240,42,8,0,0,50,0,0,0
2026-01-02 12:24:22,241,42,8,0,0,50,0,0,0
2026-01-02 12:24:37,241,42,8,0,0,50,0,0,0
2026-01-02 12:24:53,241,42,8,0,0,50,0,0,0
2026-01-02 12:25:10,241,42,8,0,0,50,0,0,0
2026-01-02 12:25:25,242,42,8,0,0,50,0,0,0
2026-01-02 12:25:41,242,42,8,0,0,50,0,0,0
2026-01-02 12:25:56,242,42,8,0,0,50,0,0,0
2026-01-02 12:26:14,242,42,8,0,0,50,0,0,0
2026-01-02 12:26:29,243,42,8,0,0,50,0,0,0
2026-01-02 12:26:45,243,42,8,0,0,50,0,0,0
2026-01-02 12:27:01,243,42,8,0,0,50,0,0,0
2026-01-02 12:27:16,244,42,8,0,0,50,0,0,0
2026-01-02 12:27:31,244,42,8,0,0,50,0,0,0
2026-01-02 12:27:46,244,42,8,0,0,50,0,0,0
2026-01-02 12:28:01,244,42,8,0,0,50,0,0,0
2026-01-02 12:28:17,245,42,8,0,0,50,0,0,0
2026-01-02 12:28:32,245,42,8,0,0,50,0,0,0
2026-01-02 12:28:48,245,42,8,0,0,50,0,0,0
2026-01-02 12:29:03,245,42,8,0,0,50,0,0,0
2026-01-02 12:29:18,246,42,8,0,0,50,0,0,0
2026-01-02 12:29:33,246,42,8,0,0,50,0,0,0
2026-01-02 12:29:48,246,42,8,0,0,50,0,0,0
2026-01-02 12:30:03,246,42,8,0,0,50,0,0,0
2026-01-02 12:30:18,247,42,8,0,0,50,0,0,0
2026-01-02 12:30:33,247,42,8,0,0,50,0,0,0
2026-01-02 12:30:48,247,42,8,0,0,50,0,0,0
2026-01-02 12:31:03,247,42,8,0,0,50,0,0,0
2026-01-02 12:31:19,248,42,8,0,0,50,0,0,0
2026-01-02 12:31:41,248,42,8,0,0,50,0,0,0
2026-01-02 12:31:58,248,42,8,0,0,50,0,0,0
2026-01-02 12:32:14,248,42,8,0,0,50,0,0,0
2026-01-02 12:32:29,249,42,8,0,0,50,0,0,0
2026-01-02 12:32:45,249,42,8,0,0,50,0,0,0
2026-01-02 12:33:02,249,42,8,0,0,50,0,0,0
2026-01-02 12:33:17,250,42,8,0,0,50,0,0,0
2026-01-02 12:33:32,250,42,8,0,0,50,0,0,0
2026-01-02 12:33:48,250,42,8,0,0,50,0,0,0
2026-01-02 12:34:03,250,42,8,0,0,50,0,0,0
2026-01-02 12:34:18,251,42,8,0,0,50,0,0,0
2026-01-02 12:34:33,251,42,8,0,0,50,0,0,0
2026-01-02 12:34:49,251,42,8,0,0,50,0,0,0
2026-01-02 12:35:04,251,42,8,0,0,50,0,0,0
2026-01-02 12:35:19,252,42,8,0,0,50,0,0,0
2026-01-02 12:35:34,252,42,8,0,0,50,0,0,0
2026-01-02 12:35:49,252,42,8,0,0,50,0,0,0
2026-01-02 12:36:06,252,42,8,0,0,50,0,0,0
2026-01-02 12:36:21,253,42,8,0,0,50,0,0,0
2026-01-02 12:36:37,253,42,8,0,0,50,0,0,0
2026-01-02 12:36:53,253,42,8,0,0,50,0,0,0
2026-01-02 12:37:08,253,42,8,0,0,50,0,0,0
2026-01-02 12:37:23,254,42,8,0,0,50,0,0,0
2026-01-02 12:37:39,254,42,8,0,0,50,0,0,0
2026-01-02 12:37:54,254,42,8,0,0,50,0,0,0
2026-01-02 12:38:09,254,42,8,0,0,50,0,0,0
2026-01-02 12:38:24,255,42,8,0,0,50,0,0,0
2026-01-02 12:38:40,255,42,8,0,0,50,0,0,0
2026-01-02 12:38:55,255,42,8,0,0,50,0,0,0
2026-01-02 12:39:11,255,42,8,0,0,50,0,0,0
2026-01-02 12:39:26,256,42,8,0,0,50,0,0,0
2026-01-02 12:39:42,256,42,8,0,0,50,0,0,0
2026-01-02 12:39:57,256,42,8,0,0,50,0,0,0
2026-01-02 12:40:13,256,42,8,0,0,50,0,0,0
2026-01-02 12:40:28,257,42,8,0,0,50,0,0,0
2026-01-02 12:40:43,257,42,8,0,0,50,0,0,0
2026-01-02 12:40:58,257,42,8,0,0,50,0,0,0
